title,link,price,rating,reviews
,https://www.amazon.com/s?k=ipad&page=2&xpid=XMHlTO4ge5Qxp&crid=1ZY02724OXD57&qid=1758462604&sprefix=ipad%2Caps%2C432&ref=sr_pg_1,$279.00,4.2 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=2&xpid=XMHlTO4ge5Qxp&crid=1ZY02724OXD57&qid=1758462604&sprefix=ipad%2Caps%2C432&ref=sr_pg_1,$429.94,4.3 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$274.99,4.2 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$610.00,5.0 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$94.99,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$389.94,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$414.95,4.5 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$101.00,4.3 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$275.00,4.3 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,"$1,099.00",4.7 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$91.49,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$339.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$92.00,4.2 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$382.35,5.0 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$163.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,"$1,399.85",4.7 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,,2.9 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=3&crid=1ZY02724OXD57&qid=1758462610&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_2,$199.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,,4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$74.99,4.1 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,"$1,879.00",4.8 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$394.00,4.2 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$145.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$144.00,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$289.00,4.1 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$89.99,4.5 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$349.00,4.3 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$589.00,3.6 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$95.99,4.4 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$325.00,4.6 out of 5 stars,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,"$1,129.97",,
,https://www.amazon.com/s?k=ipad&page=4&crid=1ZY02724OXD57&qid=1758462615&sprefix=ipad%2Caps%2C432&xpid=XMHlTO4ge5Qxp&ref=sr_pg_3,$329.95,4.6 out of 5 stars,
